article_id,author,category,created_at,link,pub_date,title
AKR20260521182200061,강영훈,사회,1779382953472,https://www.yna.co.kr/view/AKR20260521182200061,1779369696000,경기광주서 차량이 식당 돌진…인명피해 없어
AKR20260521164252053,김선형,사회,1779382953473,https://www.yna.co.kr/view/AKR20260521164252053,1779368575000,추풍령휴게소 진입하던 소방버스 나무로 돌진…11명 중경상(종합2보)
AKR20260521180000054,정다움,사회,1779382953473,https://www.yna.co.kr/view/AKR20260521180000054,1779367433000,'책상에 탁!' 스타벅스 마시는 전두환 합성 사진 온라인서 유포
AKR20260521179300062,류호준,사회,1779382953475,https://www.yna.co.kr/view/AKR20260521179300062,1779366704000,현직 경찰관이 술 마시고 전동킥보드 몰다 연석 '쾅'…대기 발령
AKR20260521178300004,최원정,사회,1779382953477,https://www.yna.co.kr/view/AKR20260521178300004,1779365027000,[속보] '내란선전 혐의' 이은우 前 KTV원장 구속영장 기각
AKR20260521178200053,김선형,사회,1779382953477,https://www.yna.co.kr/view/AKR20260521178200053,1779364936000,경주 한 사찰 부속건물서 화재…2시간여만에 진화
AKR20260521177400003,홍규빈,사회,1779382953479,https://www.yna.co.kr/view/AKR20260521177400003,1779363997000,"국토·행안부, '철근 누락' GTX 삼성역 구간 전체 안전점검"
AKR20260521128300530,차민지,사회,1779382953479,https://www.yna.co.kr/view/AKR20260521128300530,1779363025000,[인사] 행정안전부
AKR20260521173900004,최원정,사회,1779382953480,https://www.yna.co.kr/view/AKR20260521173900004,1779361915000,"현직 검사 ""중수청·공소청·법왜곡죄는 위헌"" 헌재에 권한쟁의"
AKR20260521159300004,전재훈,사회,1779382953482,https://www.yna.co.kr/view/AKR20260521159300004,1779361200000,[날씨] 내일도 제주·전남 곳곳 소나기…낮 최고 27도
AKR20260521123951004,이미령,사회,1779382953483,https://www.yna.co.kr/view/AKR20260521123951004,1779356979000,"대법 ""비의료인 문신, 무면허 의료행위 아냐""…34년만 판례변경(종합)"
AKR20260521121351004,김채린,사회,1779382953484,https://www.yna.co.kr/view/AKR20260521121351004,1779356658000,"전처 연인에게 흉기 휘두른 50대 구속…""도주·증거인멸 우려""(종합)"
AKR20260521165900061,권준우,사회,1779382953485,https://www.yna.co.kr/view/AKR20260521165900061,1779355594000,이천 아파트서 학내문제 공익제보 고교 교사 추락해 사망
AKR20260521164251053,윤관식,사회,1779382953487,https://www.yna.co.kr/view/AKR20260521164251053,1779354667000,경부고속도 추풍령휴게소서 소방버스 단독사고…4명 부상(종합)
AKR20260521164800004,박재현,사회,1779382953488,https://www.yna.co.kr/view/AKR20260521164800004,1779354060000,수습기자에 위증 지시한 언론사 운영자…검찰 직접 수사로 덜미
AKR20260521164300061,이영주,사회,1779382953489,https://www.yna.co.kr/view/AKR20260521164300061,1779354047000,생후 8개월 아들 리모컨으로 때려 숨지게 한 친모 구속기소
AKR20260521164200053,윤관식,사회,1779382953492,https://www.yna.co.kr/view/AKR20260521164200053,1779353346000,김천 경부고속도로 추풍령휴게소서 소방버스 사고…4명 부상
AKR20260521162900062,류호준,사회,1779382953493,https://www.yna.co.kr/view/AKR20260521162900062,1779353313000,동해고속도로서 트럭이 중앙분리대 '쾅'…빗길 미끄러짐 추정
AKR20260521162600062,강태현,사회,1779382953494,https://www.yna.co.kr/view/AKR20260521162600062,1779353267000,"강원소방, 산악사고 대응 강화…GPS 기반 수색체계 운영"
AKR20260521155451530,차민지,사회,1779382953495,https://www.yna.co.kr/view/AKR20260521155451530,1779352375000,"윤호중 ""스타벅스 반역사적 행태 유감""…사실상 불매운동 선언"
AKR20260521154900004,이의진,사회,1779382953496,https://www.yna.co.kr/view/AKR20260521154900004,1779352225000,"강남서, 창원 NC파크 사망사고 유족 고소인 조사…""공정수사 원해"""
AKR20260521152400062,박영서,사회,1779382953497,https://www.yna.co.kr/view/AKR20260521152400062,1779352009000,"한전 HVDC건설본부, 영월 상동고에 발전기금 1천만원 전달"
AKR20260521150800062,이상학,사회,1779382953499,https://www.yna.co.kr/view/AKR20260521150800062,1779351871000,"춘천경실련 ""지방자치 활성화 위해 지방의회 신뢰 회복해야"""
AKR20260521157600530,이재영,사회,1779382953500,https://www.yna.co.kr/view/AKR20260521157600530,1779351689000,금요일 오전부터 점차 맑아져…기온도 예년 이맘때 수준 유지
AKR20260521154500004,이승연,사회,1779382953501,https://www.yna.co.kr/view/AKR20260521154500004,1779351446000,"'유서대필' 강기훈 파기환송심서 국가배상액↑…""6700만원 추가"""
AKR20260521155700004,이미령,사회,1779382953502,https://www.yna.co.kr/view/AKR20260521155700004,1779351124000,"교사가 아동 강제추행 시 최소 징역 7년6개월…헌재, 위헌 결정"
AKR20260521107701004,한지은,사회,1779382953502,https://www.yna.co.kr/view/AKR20260521107701004,1779351042000,배우 김규리 자택 침입해 강도·폭행 40대 남성 체포(종합)
AKR20260521156900530,차민지,사회,1779382953503,https://www.yna.co.kr/view/AKR20260521156900530,1779351023000,"[속보] 행안장관 ""민주주의 역사 가볍게 여긴 기업 상품 제공 안 할 것"""
AKR20260521155400530,차민지,사회,1779382953504,https://www.yna.co.kr/view/AKR20260521155400530,1779350901000,"[속보] 행안장관 ""스타벅스 코리아 반역사적 행태에 깊은 유감"""
AKR20260521156100065,김상연,사회,1779382953504,https://www.yna.co.kr/view/AKR20260521156100065,1779350874000,'순천→인천' 헬기로 400㎞ 이송해 응급환자 치료
AKR20260521155900004,최원정,사회,1779382953505,https://www.yna.co.kr/view/AKR20260521155900004,1779350803000,"[게시판] 법무부, 22일 '월간 업무회의' 유튜브 생중계"
AKR20260521141800004,전재훈,사회,1779382953507,https://www.yna.co.kr/view/AKR20260521141800004,1779350595000,'GTX 삼성역 철근 누락' 서울경찰청 반부패수사대가 내사
AKR20260521139751004,이영섭,사회,1779382953507,https://www.yna.co.kr/view/AKR20260521139751004,1779350582000,조태용 前국정원장 '정치관여' 무죄…위증으로 징역 1년6개월(종합)
AKR20260521153800007,이영호,사회,1779382953509,https://www.yna.co.kr/view/AKR20260521153800007,1779350333000,"콩고민주공화국 축구대표팀, 에볼라 공포에 국내 훈련 캠프 취소"
AKR20260521149400530,김영신,사회,1779382953515,https://www.yna.co.kr/view/AKR20260521149400530,1779349626000,"복지차관, 화성서 고유가지원금·그냥드림 현장 점검"
AKR20260521144300054,정다움,사회,1779382953516,https://www.yna.co.kr/view/AKR20260521144300054,1779349553000,"李대통령, 5·18 폄훼 응징에 오월단체 ""강력 대응 출발점 되길"""
AKR20260521148900052,이준영,사회,1779382953518,https://www.yna.co.kr/view/AKR20260521148900052,1779349122000,"허민 국가유산청장, 국보 밀양 영남루 재난 대응체계 등 점검"
AKR20260521147100004,최윤선,사회,1779382953522,https://www.yna.co.kr/view/AKR20260521147100004,1779348889000,"검찰, 도이치모터스 압수수색…100억대 허위 세금계산서 의혹"
AKR20260521143800052,이준영,사회,1779382953523,https://www.yna.co.kr/view/AKR20260521143800052,1779348887000,"김해시, 경전철 탈선·화재 가정한 복합 재난 대응 훈련"
AKR20260521137500064,김형우,사회,1779382953524,https://www.yna.co.kr/view/AKR20260521137500064,1779348791000,좁은 공간에 갇힌 새끼고양이…청주동물보호센터 보호 방식 논란
AKR20260521140900052,정종호,사회,1779382953527,https://www.yna.co.kr/view/AKR20260521140900052,1779348718000,"""민원 넣었지"" 손도끼 들고 이웃 협박한 50대 남성 구속기소"
AKR20260521147900065,최은지,사회,1779382953528,https://www.yna.co.kr/view/AKR20260521147900065,1779348694000,"""유심 개인정보 유출 화나""…칼부림 예고글 올린 30대 벌금형"
AKR20260521144900371,박현수,사회,1779382953529,https://www.yna.co.kr/view/AKR20260521144900371,1779348643000,"[게시판] GBS고려방송 이믿음 본부장, '세계인의 날' 법무부장관 표창"
AKR20260521145900064,이성민,사회,1779382953530,https://www.yna.co.kr/view/AKR20260521145900064,1779348636000,필로폰 신체에 숨겨 태국서 밀반입…유통 일당 5명 검거
AKR20260521131300061,강영훈,사회,1779382953532,https://www.yna.co.kr/view/AKR20260521131300061,1779348366000,"""주식으로 수익내주겠다""…투자금 끌어모아 잠적한 50대 피소"
AKR20260521144000004,전재훈,사회,1779382953536,https://www.yna.co.kr/view/AKR20260521144000004,1779348011000,"검찰, 전광훈 목사 보석 조건에 '집회 참가 제한' 추가 요청"
AKR20260521142300064,전창해,사회,1779382953539,https://www.yna.co.kr/view/AKR20260521142300064,1779347407000,"장애인단체, 충북도에 '장애인 노동권·자립권' 예산 확보 촉구"
AKR20260521121151004,이미령,사회,1779382953540,https://www.yna.co.kr/view/AKR20260521121151004,1779347310000,"대법 ""노란봉투법 시행 전 원청은 하청노조 단체교섭 의무없어""(종합)"
AKR20260521140500054,김혜인,사회,1779382953541,https://www.yna.co.kr/view/AKR20260521140500054,1779347103000,"현직경찰관, 음주운전 적발돼 직위해제"
AKR20260521139500063,강수환,사회,1779382953541,https://www.yna.co.kr/view/AKR20260521139500063,1779346899000,경찰관이 고소한 사건을 소속 경찰서에서 수사…공정성 논란
AKR20260521128600057,장영은,사회,1779382953542,https://www.yna.co.kr/view/AKR20260521128600057,1779346834000,"울주군 온양문화센터서 23일 '효 콘서트'…""감동과 흥겨움"""
AKR20260521139000004,최원정,사회,1779382953547,https://www.yna.co.kr/view/AKR20260521139000004,1779346674000,"법무·통일부, 소년범 등 취약 수형자에 맞춤형 통일교육"
